epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1429.29,1.95202,1.03898,1.16183,0.69044,0.44467,0.46623,0.22586,1.89633,0.79014,1.04338,0.00079705,0.00079705,0.00079705
43,1462.36,1.94619,1.0386,1.15762,0.95666,0.43479,0.45856,0.23406,1.93252,0.79494,1.04982,0.0007921,0.0007921,0.0007921
44,1494.5,1.93375,1.03936,1.15759,0.68894,0.45225,0.46832,0.21596,1.9389,0.78383,1.05913,0.00078715,0.00078715,0.00078715
45,1527.99,1.94262,1.03123,1.1474,0.68869,0.45555,0.48239,0.22762,1.95321,0.78851,1.05897,0.0007822,0.0007822,0.0007822
46,1560.52,1.9462,1.04833,1.16928,0.69078,0.43735,0.45435,0.22021,1.95995,0.83565,1.05629,0.00077725,0.00077725,0.00077725
47,1592.26,1.92195,1.04109,1.16552,0.7022,0.43295,0.44985,0.23388,1.95633,0.87918,1.06066,0.0007723,0.0007723,0.0007723
48,1625.67,1.92453,1.03121,1.16714,0.69075,0.45877,0.47062,0.2085,1.93568,0.78876,1.05103,0.00076735,0.00076735,0.00076735
49,1658.3,1.94178,1.02771,1.16294,0.43619,0.45509,0.46839,0.21976,1.90837,0.81863,1.04515,0.0007624,0.0007624,0.0007624
50,1693.73,1.94382,1.03909,1.14315,0.70285,0.43916,0.47512,0.22118,1.89287,0.79149,1.04158,0.00075745,0.00075745,0.00075745
51,1726.82,1.9099,1.00028,1.13963,0.69238,0.43889,0.50228,0.26744,1.99898,0.81399,1.07175,0.0007525,0.0007525,0.0007525
52,1759.56,1.90335,1.01226,1.1486,0.70114,0.44106,0.48247,0.26024,1.87917,0.77325,1.03223,0.00074755,0.00074755,0.00074755
53,1793.34,1.90557,1.00209,1.14662,0.66488,0.45945,0.45877,0.24411,1.89303,0.77255,1.04031,0.0007426,0.0007426,0.0007426
54,1826,1.90519,1.01339,1.1462,0.69239,0.47481,0.49446,0.25989,1.88335,0.75494,1.03875,0.00073765,0.00073765,0.00073765
55,1858.08,1.8973,1.00461,1.14829,0.9725,0.43586,0.48784,0.2628,1.88064,0.77575,1.03438,0.0007327,0.0007327,0.0007327
56,1893.32,1.88444,0.97785,1.14485,0.42527,0.47481,0.49463,0.26408,1.88611,0.77184,1.03761,0.00072775,0.00072775,0.00072775
57,1925.9,1.89006,0.98882,1.14009,0.665,0.73024,0.5081,0.26996,1.87657,0.76657,1.03402,0.0007228,0.0007228,0.0007228
58,1957.85,1.88681,0.99669,1.1396,0.66559,0.37883,0.41322,0.19214,1.95763,0.85503,1.06032,0.00071785,0.00071785,0.00071785
59,1990.69,1.90673,0.98816,1.14723,0.68827,0.6686,0.58883,0.29995,1.94686,0.79503,1.05579,0.0007129,0.0007129,0.0007129
60,2024.47,1.87212,0.98923,1.13719,0.93935,0.45859,0.48239,0.23406,1.89127,0.75769,1.0368,0.00070795,0.00070795,0.00070795
61,2057.17,1.88135,0.95062,1.12657,0.69409,0.72949,0.55729,0.30104,1.86989,0.75654,1.03385,0.000703,0.000703,0.000703
62,2091.82,1.88883,0.98032,1.13647,0.6932,0.43685,0.48963,0.25008,2.00696,0.88396,1.06767,0.00069805,0.00069805,0.00069805
63,2126.43,1.87289,0.96561,1.13406,0.69084,0.44673,0.48696,0.21289,1.90671,0.76716,1.04233,0.0006931,0.0006931,0.0006931
64,2159.08,1.86486,0.95595,1.13413,0.96045,0.45373,0.47987,0.25232,1.8665,0.74549,1.02985,0.00068815,0.00068815,0.00068815
65,2193.27,1.87698,0.97592,1.1297,0.85338,0.36442,0.44164,0.21459,2.09121,1.22296,1.09967,0.0006832,0.0006832,0.0006832
66,2225.85,1.859,0.96592,1.13254,0.70985,0.44174,0.50795,0.25684,1.87544,0.75985,1.0334,0.00067825,0.00067825,0.00067825
67,2259.83,1.87141,0.95777,1.12811,0.69518,0.46732,0.49255,0.24158,1.88467,0.76757,1.03956,0.0006733,0.0006733,0.0006733
68,2292.38,1.856,0.93526,1.12473,0.70594,0.70883,0.52571,0.25542,1.86628,0.75247,1.03217,0.00066835,0.00066835,0.00066835
69,2325.11,1.87432,0.979,1.13789,0.6911,0.73617,0.58243,0.30179,1.86627,0.74875,1.02983,0.0006634,0.0006634,0.0006634
70,2358.41,1.84592,0.95771,1.1281,0.68903,0.58534,0.50446,0.25173,1.8847,0.74715,1.0332,0.00065845,0.00065845,0.00065845
71,2392.29,1.85683,0.96653,1.12942,0.71059,0.46645,0.56045,0.27553,1.87609,0.74462,1.03489,0.0006535,0.0006535,0.0006535
